year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
2021,EGYPT,swimming,M,,unknown,2021-09-10 00:00:00,10-Sep-2021,9,Autumn
2021,USA,surfing,M,!6,no,2021-09-09 00:00:00,09-Sep-2021,9,Autumn
2021,AUSTRALIA,surfing,M,31,yes,2021-09-05 00:00:00,05-Sep-2021,9,Autumn
2021,British Overseas Territory,,M,,no,2021-09-03 00:00:00,03-Sep-2021,9,Autumn
2021,USA,fishing,M,64,no,2021-09-03 00:00:00,03-Sep-2021,9,Autumn
2021,USA,boogie boarding,M,!!,no,2021-08-28 00:00:00,28-Aug-2021,8,Summer
2021,USA,surfing,M,41,no,2021-08-21 00:00:00,21-Aug-2021,8,Summer
2021,CANADA,swimming,F,21,no,2021-08-13 00:00:00,13-Aug-2021,8,Summer
2021,AUSTRALIA,harassing sharks,M,,no,2021-08-07 00:00:00,07-Aug-2021,8,Summer
2021,USA,surfing,M,35,no,2021-08-07 00:00:00,07-Aug-2021,8,Summer
2021,USA,snorkeling,M,15,no,2021-08-07 00:00:00,07-Aug-2021,8,Summer
2021,USA,,M,,no,2021-08-03 00:00:00,03-Aug-2021,8,Summer
2021,USA,swimming,F,12,no,2021-08-02 00:00:00,02-Aug-2021,8,Summer
2021,USA,fishing,M,47,no,2021-07-30 00:00:00,30-Jul-2021,7,Summer
2021,USA,standing,M,15,no,2021-07-27 00:00:00,27-Jul-2021,7,Summer
2021,USA,surfing,M,58,no,2021-07-27 00:00:00,27-Jul-2021,7,Summer
2021,AUSTRALIA,fishing,M,34,no,2021-07-27 00:00:00,27-Jul-2021,7,Summer
2021,USA,swimming,M,,no,2021-07-26 00:00:00,26-Jul-2021,7,Summer
2021,BRAZIL,squatting in the water,M,32,no,2021-07-25 00:00:00,25-Jul-2021,7,Summer
2021,THAILAND,moving captive shark,M,55,no,2021-07-23 00:00:00,23-Jul-2021,7,Summer
2021,USA,surfing,F,,no,2021-07-21 00:00:00,21-Jul-2021,7,Summer
2021,USA,,F,35,no,2021-07-21 00:00:00,21-Jul-2021,7,Summer
2021,AUSTRALIA,surfing,M,,no,2021-07-19 00:00:00,19-Jul-2021,7,Summer
2021,USA,boogie boarding,M,11,no,2021-07-15 00:00:00,15-Jul-2021,7,Summer
2021,SOUTH AFRICA,surfing,M,38,no,2021-07-14 00:00:00,14-Jul-2021,7,Summer
2021,BAHAMAS,jackass teams publicity stunt for discovery channels shark week 2021,M,,no,2021-07-11 00:00:00,Reported 11-Jul-2021,7,Summer
2021,USA,playing,F,9,no,2021-07-10 00:00:00,10-Jul-2021,7,Summer
2021,USA,fishing,M,36,yes,2021-07-10 00:00:00,10-Jul-2021,7,Summer
2021,BRAZIL,wading,M,51,yes,2021-07-10 00:00:00,10-Jul-2021,7,Summer
2021,AUSTRALIA,surfing,M,25,no,2021-07-05 00:00:00,05-Jul-2021,7,Summer
2021,USA,standing,M,8,no,2021-07-04 00:00:00,04-Jul-2021,7,Summer
2021,USA,fishing,F,19,no,2021-07-04 00:00:00,04-Jul-2021,7,Summer
2021,ECUADOR,diving,M,31,no,2021-07-03 00:00:00,03-Jul-2021,7,Summer
2021,USA,canoeing,M,15,no,2021-06-30 00:00:00,30-Jun-2021,6,Summer
2021,USA,surfing,F,,unknown,2021-06-28 00:00:00,28-Jun-2021,6,Summer
2021,USA,swimming,F,7,no,2021-06-27 00:00:00,27-Jun-2021,6,Summer
2021,USA,swimming,M,38,no,2021-06-26 00:00:00,26-Jun-2021,6,Summer
2021,JORDAN,parasailing,M,36,no,2021-06-25 00:00:00,25-Jun-2021,6,Summer
2021,AUSTRALIA,surfing,M,25,no,2021-06-23 00:00:00,23-Jun-2021,6,Summer
2021,USA,standing,M,12,no,2021-06-18 00:00:00,18-Jun-2021,6,Summer
2021,USA,swimming,M,14,no,2021-06-17 00:00:00,17-Jun-2021,6,Summer
2021,USA,standing,M,12,no,2021-06-14 00:00:00,14-Jun-2021,6,Summer
2021,USA,standing,M,71,no,2021-06-14 00:00:00,14-Jun-2021,6,Summer
